model,frames,cls_head,finetuned,acc[mean],acc[std],acc@5[mean],acc@5[std],f1[mean],f1[std],dataset
uniformerv2,16,randomforest,False,0.5812865497076024,0.008325207214059473,0.9021442495126705,0.004410802533717287,0.18741784010717122,0.013188105396880069,basketball
uniformerv2,16,svm,False,0.6654970760233918,0.0,0.9481481481481481,0.0011027006334293349,0.36459441815233035,0.0,basketball
uniformerv2,16,mlp,False,0.6623781676413255,0.0011027006334292824,0.9469785575048734,0.0005513503167146412,0.3755568570196277,0.007257764231258998,basketball
uniformerv2,32,randomforest,False,0.5684210526315789,0.007579813682348399,0.9025341130604287,0.0061395772896778045,0.17614665126999965,0.007896376672073898,basketball
uniformerv2,32,svm,False,0.6514619883040935,0.0,0.9536062378167641,0.0011027006334292824,0.3858668706922414,0.0,basketball
uniformerv2,32,mlp,False,0.6432748538011696,0.004376207469911056,0.9430799220272904,0.0005513503167146936,0.39368799962093376,0.004197704715321717,basketball
mvitv2,8,randomforest,False,0.43508771929824563,0.003443181624299352,0.8124756335282651,0.0029174716466073675,0.10085348750075113,0.0013579785530410998,basketball
mvitv2,8,svm,False,0.52046783625731,0.0,0.86588693957115,0.0014587358233036885,0.18480654604688906,0.0,basketball
mvitv2,8,mlp,False,0.5005847953216375,0.0009549667613189733,0.8269005847953217,0.0009549667613189959,0.15509722539908247,0.0003930306877364643,basketball
mvitv2,16,randomforest,False,0.44756335282651066,0.0048065606260966655,0.8116959064327486,0.0009549667613189959,0.09648242027408183,0.0014624195581571387,basketball
mvitv2,16,svm,False,0.5380116959064327,0.0,0.8799220272904483,0.0024032803130483553,0.1789232121040133,0.0,basketball
mvitv2,16,mlp,False,0.4853801169590643,0.0,0.8202729044834308,0.0005513503167146412,0.12445458068455749,0.0008487566808477068,basketball
uniformerv2,16,randomforest,False,0.7002063983488132,0.008223620975494962,0.9329205366357068,0.004438764327679335,0.3585306505699022,0.004586203126803103,volleyball
uniformerv2,16,svm,False,0.7879256965944273,1.1102230246251565e-16,0.9752321981424149,0.0,0.48774937564789256,0.0,volleyball
uniformerv2,16,mlp,False,0.7579979360165119,0.002918913441430518,0.9592363261093911,0.0019306797661371976,0.5107497726146667,0.01085739206987136,volleyball
uniformerv2,32,randomforest,False,0.7084623323013416,0.0019306797661371976,0.9308565531475749,0.0031808121790345544,0.36430721228239743,0.0009665582210886035,volleyball
uniformerv2,32,svm,False,0.7941176470588235,0.0,0.9778121775025799,0.0007297283603576426,0.4939822137586796,0.0,volleyball
uniformerv2,32,mlp,False,0.7579979360165119,0.002918913441430518,0.9695562435500515,0.0007297283603576426,0.4683249722378706,0.004747690658347872,volleyball
mvitv2,8,randomforest,False,0.5056759545923634,0.005108098522503446,0.8926728586171312,0.0031808121790345483,0.24747999786868427,0.00355818103880958,volleyball
mvitv2,8,svm,False,0.5959752321981424,0.0,0.9396284829721363,0.0012639265958633676,0.3249461737209723,0.0,volleyball
mvitv2,8,mlp,False,0.47471620227038186,0.0014594567207152852,0.8952528379772962,0.0007297283603576426,0.21134998692275453,0.0013602679220374816,volleyball
mvitv2,16,randomforest,False,0.4695562435500516,0.0069611648933086,0.8993808049535602,0.005055706383453425,0.22574846121633632,0.005722827722346573,volleyball
mvitv2,16,svm,False,0.6052631578947368,0.0,0.934984520123839,0.0012639265958633676,0.3180116149072255,0.0,volleyball
mvitv2,16,mlp,False,0.48503611971104227,0.001459456720715259,0.8937048503611971,0.005108098522503409,0.20504173723246769,0.0014451732126135063,volleyball
videomaev2,32,randomforest,False,0.7352941176470589,0.0037917797875900577,0.9442724458204333,1.1102230246251565e-16,0.37839481120488544,0.0025320428446473204,volleyball
videomaev2,32,svm,False,0.8173374613003096,0.0,0.9814241486068113,1.1102230246251565e-16,0.5401121153554747,0.0,volleyball
videomaev2,32,mlp,False,0.8075335397316822,0.0007297283603576426,0.9814241486068113,1.1102230246251565e-16,0.5807992529363895,0.0002765145885052806,volleyball
uniformerv2,8,randomforest,False,0.15465313028764804,0.0025324246272581674,0.42199661590524534,0.00995867273743632,0.06411212017328144,0.0011249787021320725,diving
uniformerv2,8,svm,False,0.23959390862944163,0.0,0.5989847715736041,0.002193144060374924,0.1301513670716394,0.0,diving
uniformerv2,8,mlp,False,0.18274111675126903,0.004307249428547505,0.47309644670050766,0.004615289914377611,0.07947302512623551,0.002326666103063955,diving
uniformerv2,16,randomforest,False,0.3912231559290383,0.0015247368458034044,0.8478057889822596,0.005954287727889487,0.18702379218731754,0.011892796289876596,football
uniformerv2,16,svm,False,0.4892623716153128,0.0,0.8979147214441333,0.00044015361418396826,0.403467004631101,5.551115123125783e-17,football
uniformerv2,16,mlp,False,0.48366013071895425,0.002017037254406423,0.8935574229691877,0.0034936110053912055,0.3823330645848964,0.0027660451671978207,football
uniformerv2,32,randomforest,False,0.3800186741363212,0.0030494736916068317,0.838468720821662,0.0060511117632192695,0.18800608950377493,0.007736259806296323,football
uniformerv2,32,svm,False,0.4789915966386555,0.0,0.896358543417367,0.0007623684229017022,0.38174211217594745,0.0,football
uniformerv2,32,mlp,False,0.4643635231870526,0.003837170247724241,0.892623716153128,0.002017037254406423,0.3636131545765063,0.003312751892739119,football
mvitv2,8,randomforest,False,0.27762215997510115,0.006162150598575576,0.734827264239029,0.002287105268705152,0.046025363198995826,0.004250111429305265,football
mvitv2,8,svm,False,0.33426704014939307,0.0,0.7808901338313103,0.0011645370017970519,0.12051010754553755,1.3877787807814457e-17,football
mvitv2,8,mlp,False,0.3006535947712418,0.0,0.7482103952692188,0.00044015361418396826,0.030979319483350424,0.0002242220953126719,football
mvitv2,16,randomforest,False,0.2642390289449113,0.0033230869131749994,0.7435418611889201,0.0044015361418396825,0.04518605875176205,0.005855610732783255,football
mvitv2,16,svm,False,0.35480859010270777,0.0,0.8048552754435109,0.0007623684229017022,0.12563899650624838,0.0,football
mvitv2,16,mlp,False,0.298474945533769,0.0011645370017970519,0.7528789293495176,0.00044015361418396826,0.031047817865994032,0.00029137637298820004,football
